                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.1088,                 1.0209,                 1.1757,                 0.8067,                0.86628,                0.92933,                0.55866,                 1.4858,                 1.3932,                 1.4551,             0.00078764,             0.00078764,             0.00078764
                     58,                 1.1711,                 1.0359,                 1.1622,                0.79153,                0.79938,                 0.8775,                 0.6087,                 1.2595,                 1.3192,                 1.3204,             0.00078682,             0.00078682,             0.00078682
                     59,                  1.072,                 1.0252,                 1.1624,                0.79153,                0.79938,                 0.8775,                 0.6087,                 1.2595,                 1.3192,                 1.3204,             0.00078599,             0.00078599,             0.00078599
                     60,                 1.0774,                 1.0595,                 1.1636,                0.74862,                0.81864,                0.88803,                0.60412,                 1.2251,                 1.2797,                 1.3066,             0.00078517,             0.00078517,             0.00078517
                     61,                 1.1592,                 1.0694,                 1.2079,                0.74862,                0.81864,                0.88803,                0.60412,                 1.2251,                 1.2797,                 1.3066,             0.00078434,             0.00078434,             0.00078434
                     62,                 1.0615,                 1.0036,                 1.1626,                0.79266,                0.81268,                0.89823,                0.62225,                 1.1414,                 1.2189,                 1.2422,             0.00078352,             0.00078352,             0.00078352
                     63,                 1.0376,                0.95364,                 1.1253,                0.79266,                0.81268,                0.89823,                0.62225,                 1.1414,                 1.2189,                 1.2422,              0.0007827,              0.0007827,              0.0007827
                     64,                 1.0798,                 1.0529,                 1.1608,                0.86214,                0.90533,                0.93646,                0.64967,                 1.1304,                 1.1131,                 1.2023,             0.00078187,             0.00078187,             0.00078187
                     65,                 1.0961,                 1.0472,                 1.1467,                0.86214,                0.90533,                0.93646,                0.64967,                 1.1304,                 1.1131,                 1.2023,             0.00078105,             0.00078105,             0.00078105
                     66,                 1.0786,                 1.0619,                 1.1824,                0.85768,                 0.9725,                0.98202,                  0.655,                 1.2775,                 1.1021,                 1.2233,             0.00078022,             0.00078022,             0.00078022
                     67,                 1.0978,                 1.0191,                  1.164,                0.85768,                 0.9725,                0.98202,                  0.655,                 1.2775,                 1.1021,                 1.2233,              0.0007794,              0.0007794,              0.0007794
                     68,                 1.1149,                 1.0172,                 1.1687,                0.87859,                0.95162,                0.97635,                0.62964,                 1.3425,                 1.1034,                 1.2314,             0.00077857,             0.00077857,             0.00077857
